followers,polarity,sentiment_confidence,clusters,difference
93,0.214285714,0.642857143,1,0.000146419
2097,-0.125,1,3,-0.002995817
2186,0.4,0.75,0,0.007495115
75,0,0,4,0
366,0,0,4,0
4,0.08989899,0.522222222,1,2.15E-06
275,0,0,4,0
384,-0.15,0.4,1,-0.000263323
523,0,0,4,0
1138,0,0,4,0
0,0.25,0.333333333,1,0
50647,0.1,0.4,1,0.023153712
178,0.78125,0.5,0,0.00079467
383,0.15625,0.1125,4,7.69E-05
46,0,0.5,1,0
775,0,0,4,0
5902,-0.033333333,0.4,1,-0.000899383
1360,0,0,4,0
470,0.1,0.383333333,1,0.000205912
9,0,0,4,0
374,0,0,4,0
5355,0,0,4,0
760,0,0,4,0
2777,-0.466666667,0.666666667,3,-0.009874118
15997,0,0.25,4,0
276,0.4,0.633333333,0,0.000799113
64,0,0,4,0
167,0,0,4,0
1598,0,0,4,0
5355,0,0.033333333,4,0
279,-0.119318182,0.477272727,1,-0.000181587
542,0,0,4,0
113,0.15,0.05,4,9.69E-06
232,-0.375,0.5,3,-0.00049716
250,0,0,4,0
2714,0.375,0.375,0,0.004361936
42,0,0,4,0
531,0,0,4,0
20775,0,0.5,1,0
934,0,0.3,1,0
1,0,0,4,0
257,0.25,0.8125,0,0.000596628
438,0,0,4,0
20,0.5,0.9,0,0.000102861
775,0,0,4,0
712,0.1,0.383333333,1,0.000311935
18,-0.75,1,3,-0.000154291
43,0,0,4,0
6746,0,0,4,0
94,0.083333333,0.666666667,1,5.97E-05
1696,0.25,0.5,1,0.002422941
135,-0.083333333,0.62962963,1,-8.10E-05
544,0.1,0.2,4,0.000124347
2382,0,0,4,0
41,0.35,0.55,0,9.02E-05
894,-0.466666667,0.666666667,3,-0.003178776
185,0.6,0.75,0,0.000951461
241,0,0,4,0
1097,0,0,4,0
1279,0,0,4,0
1219,0,0,4,0
402,0.5,0.5,0,0.001148611
1021,0,0,4,0
4117,0,0,4,0
36,0,0,4,0
42,0,0,4,0
67,0.1,0.1,4,7.66E-06
32350,0.15,0.05,4,0.002772953
845,0,0.25,4,0
178,0.35,0.7,0,0.000498417
285,0,0,4,0
6897,0,0,4,0
5871,0,0,4,0
530,0.2,0.2,4,0.000242294
255,-0.75,1,3,-0.00218579
71,-0.15,0.4,1,-4.87E-05
31337,0,0,4,0
205,0,0,4,0
45,-0.05,0.716666667,1,-1.84E-05
170,0.1,0.4,1,7.77E-05
775,0,0,4,0
630,0.5,0.5,0,0.001800062
2336,-0.375,0.4,3,-0.004004709
109,0.5,0.65,0,0.000404871
797,0,0,4,0
17168,0.4,0.4,0,0.031393996
206,-0.4,0.7,3,-0.000659223
847,-0.2,0.4,1,-0.000774427
41,0.35,0.55,0,9.02E-05
16129,0.178787879,0.451515152,1,0.014880747
775,0,0,4,0
344,0.25,0.5,1,0.000491445
11,0.7,0.6,0,5.28E-05
1,-0.75,1,3,-8.57E-06
20,0,0,4,0
1204,0.275,0.391666667,1,0.001482118
124,0,0,4,0
2721,-0.125,1,3,-0.003887277
252,0,0,4,0
2,0,0,4,0
7,-0.75,1,3,-6.00E-05
26,0,0,4,0
624,0,0,4,0
41,0.35,0.55,0,9.02E-05
1139,1,1,0,0.013017591
133,-0.75,1,3,-0.001140039
473,0.625,0.8,0,0.00270295
1855,0,0,4,0
1110,0.1,0.4,1,0.000507446
775,0,0,4,0
293,-0.3625,0.655555556,3,-0.000795778
15,0,0,4,0
0,-0.1171875,0.5,1,0
435,-0.15,0.4,1,-0.000298296
3277,0,0,4,0
67,0,0,4,0
133,-0.388736979,0.5,3,-0.00029545
917,0,0,4,0
620,0,0,4,0
468,0,0,4,0
6262,0,0.45,1,0
1073,0,0,4,0
599,-1,1,3,-0.00684595
62,0,0,4,0
1486,0.5,0.5,0,0.004245861
152,0.084848485,0.260606061,1,3.84E-05
7126,-0.25,0.75,3,-0.015270526
1468,-0.75,1,3,-0.012583291
172,-0.158333333,0.416666667,1,-0.000129687
186,0,0,4,0
845,0,0,4,0
126,-0.2,0.1,4,-2.88E-05
238,0,0,4,0
266,0,0,4,0
288,0,0,4,0
3,-0.75,1,3,-2.57E-05
139,0.225,0.3,1,0.000107232
3712,0,0,4,0
914,0,0,4,0
5984,0,0,4,0
2462,0.5,0.5,0,0.007034528
415,0,0,4,0
11350,0,0,4,0
2415,0,0,4,0
93,-0.5,0.8,3,-0.000425158
20,0.325,0.45,0,3.34E-05
3,-0.75,1,3,-2.57E-05
96,-0.25,1,3,-0.000274295
336,0,0,4,0
2040,0,0,4,0
8,0.25,0.3,1,6.86E-06
42,0,0,4,0
774,-0.9375,1,3,-0.008293143
66,0.125,0.95,1,8.96E-05
3712,-0.1,0.5,1,-0.002121216
41,0.35,0.55,0,9.02E-05
478,-0.05,0.716666667,1,-0.000195759
2415,0,0.033333333,4,0
5,0,0,4,0
2685,0.4,0.4,0,0.004909883
11,0.7,0.6,0,5.28E-05
1316,0,0,4,0
1004,-0.4,0.6,3,-0.002753923
461,0,0.0625,4,0
660,0,0,4,0
5891,0.136363636,0.454545455,1,0.004173225
160,0.136363636,0.454545455,1,0.000113345
46,0,0.1,4,0
679,0.35,0.4,0,0.001086437
22,0,0,4,0
1,0,0,4,0
6852,0,0,4,0
519,0,0,4,0
58,-0.466666667,0.666666667,3,-0.000206229
1,0,0,4,0
97,0,0,4,0
2,-0.75,1,3,-1.71E-05
1,0,0,4,0
50,0.3,0.1,4,1.71E-05
590,-0.15,0.4,1,-0.000404585
1647,-0.166666667,0.433333333,1,-0.001359475
2593,0.5,0.833333333,0,0.012348044
949,0,0,4,0
2981,-0.125,0.375,1,-0.001597019
41,0.35,0.55,0,9.02E-05
664,0,0,4,0
344,0,0,4,0
111,0,0.1,4,0
8660,0,0,4,0
24,-0.276190476,0.471428571,1,-3.57E-05
775,0,0,4,0
3067,0,0,4,0
1220,0.344140625,0.35,0,0.001679464
1118,0,0,4,0
17,-0.75,1,3,-0.000145719
15,0.4,0.8,0,5.49E-05
24,0,0,4,0
82,0.428571429,0.712301587,0,0.000286093
431,0,0,4,0
235,0,0,4,0
3146,0.5,0.6,0,0.010786657
175,-0.75,1,3,-0.001500052
